Designator,Mid X,Mid Y,Rotation,Layer
C1,125.585,-27.05,180.0,top
C18,121.14,-79.77,90.0,top
C4,165.59,-117.8,270.0,top
C5,163.05,-117.8,270.0,top
C9,121.267,-85.415,270.0,top
D1,118.6,-24.05,180.0,top
D2,118.6,-26.05,180.0,top
D3,108.821,-102.763,180.0,top
D4,108.821,-104.973,180.0,top
J1,165.59,-93.907,0.0,top
J10,165.59,-80.191,0.0,top
J11,172.75,-33.3,270.0,top
J12,165.59,-100.765,0.0,top
J14,134.25,-43.05,0.0,top
J15,140.317,-105.498,180.0,top
J16,165.59,-58.872,180.0,top
J17,162.605,-33.1675,0.0,top
J18,110.2375,-114.175,270.0,top
J2,152.1,-75.98,90.0,top
J3,130.538,-103.784,0.0,top
J4,165.59,-87.049,0.0,top
J5,165.59,-73.3995,180.0,top
J6,118.1,-75.98,90.0,top
J7,172.592,-113.99,270.0,top
J8,109.71,-75.382,180.0,top
MODULE1,118.6,-97.48,0.0,top
R1,122.0,-26.05,0.0,top
R10,122.0,-24.05,0.0,top
R11,132.75,-47.05,180.0,top
R12,142.73,-113.99,270.0,top
R13,150.35,-116.53,90.0,top
R14,174.75,-72.05,270.0,top
R2,110.472,-46.426,0.0,top
R3,114.028,-46.426,0.0,top
R4,112.15,-102.763,0.0,top
R5,112.15,-104.973,0.0,top
R6,159.24,-47.95,270.0,top
R7,157.589,-47.95,270.0,top
R8,158.478,-50.998,0.0,top
R9,144.45,-113.99,270.0,top
SW1,143.35,-35.5625,0.0,top
U1,123.934,-48.712,180.0,top
U2,127.236,-48.712,0.0,top
U3,120.761,-36.774,270.0,top
U6,142.09,-118.181,270.0,top
U7,156.7,-116.53,0.0,top
U8,121.521,-116.53,0.0,top
